"Model","MacOS App(C)","Flutter(D)","Web(E)","Game(F)","Rust App(G)","Simple Model(H)","Unprompted","IDE/CLI","Think"
"Fable-5 (high)","Pass","Pass","Pass","Pass","Pending","2/A+","1","Claude Code","1"
"GPT-5.5 (high)","7/A","6/A","2/A","12/A","47/C","Pending","1","Codex App","1"
"Claude Opus 4.8 (high)","Pass","Pass","10/B+","7/A","20/B","10/B","2","Claude Code","1"
"GLM-5.2(max)","16/B+","6/A","8/A","8/A","43/C","14/B",0,"Claude Code",1
"Claude Opus 4.6","9/A","11/A","12/B+","15/B","66/C","Pending","4","Claude Code","0"
"Claude Sonnet 5 (high)","Pass","Pass","18/B","14/B+","Pending","22/C","0","Claude Code","1"
"Tencent Hy3 (high)","11/B","12/B","12/B","13/B","Pending","10/B",0,"Claude Code",1
"Gemini 3.5 Flash (high)","21/C","15/B","20/C","17/B","Skip","Skip","3","Gemini CLI","1"
"DeepSeek V4 Pro (max)","16/C","8/B","21/C","36/C","Failed(0/9)","31/C","0","Claude Code","1"
"Qwen3.7-Max","Failed(2/12)","14/B","17/C+","46/D","Skip","26/C","0","Claude Code","1"
"Kimi-K2.7-Code","30/C","18/C","26/C","55/D","Skip","30/C","0","Kimi Code","1"
"DeepSeek V4 Flash (max)","Failed(5/12)","19/C","32/C","48/D","Skip","Skip","0","Claude Code","1"
"MiniMax-M3","Skip","19/C+","51/D+","Skip","Skip","Skip","1","Claude Code","1"
"Qwen3.6-Plus(Think)","Failed(5/12)","16/C","43/D+","Failed(3/9)","Failed(0/9)","Skip","0","Claude Code","1"
"Doubao-Seed-2.0-Code  (high)","Failed(7/12)","40/C","39/C","Failed(3/9)","Skip","Skip","1","TRAE","1"
"MiMo-V2.5-Pro","Skip","Failed(6/9)","42/C","Skip","Skip","Skip","0","Claude Code","1"

